"Divisions","Count","Possible","Remaining","Percent"
0,1,1,1,=D2/C2
1,1,=C2*2,=2*D2-B3,=D3/C3
2,1,=C3*2,=2*D3-B4,=D4/C4
3,0,=C4*2,=2*D4-B5,=D5/C5
4,1,=C5*2,=2*D5-B6,=D6/C6
5,2,=C6*2,=2*D6-B7,=D7/C7
6,0,=C7*2,=2*D7-B8,=D8/C8
7,3,=C8*2,=2*D8-B9,=D9/C9
8,7,=C9*2,=2*D9-B10,=D10/C10
9,0,=C10*2,=2*D10-B11,=D11/C11
10,12,=C11*2,=2*D11-B12,=D12/C12
11,0,=C12*2,=2*D12-B13,=D13/C13
12,30,=C13*2,=2*D13-B14,=D14/C14
13,85,=C14*2,=2*D14-B15,=D15/C15
14,0,=C15*2,=2*D15-B16,=D16/C16
15,173,=C16*2,=2*D16-B17,=D17/C17
16,476,=C17*2,=2*D17-B18,=D18/C18
17,0,=C18*2,=2*D18-B19,=D19/C19
18,961,=C19*2,=2*D19-B20,=D20/C20
19,0,=C20*2,=2*D20-B21,=D21/C21
20,2652,=C21*2,=2*D21-B22,=D22/C22
21,8045,=C22*2,=2*D22-B23,=D23/C23
22,0,=C23*2,=2*D23-B24,=D24/C24
23,17637,=C24*2,=2*D24-B25,=D25/C25
24,51033,=C25*2,=2*D25-B26,=D26/C26
25,0,=C26*2,=2*D26-B27,=D27/C27
26,108950,=C27*2,=2*D27-B28,=D28/C28
27,312455,=C28*2,=2*D28-B29,=D29/C29
28,0,=C29*2,=2*D29-B30,=D30/C30
29,663535,=C30*2,=2*D30-B31,=D31/C31
30,0,=C31*2,=2*D31-B32,=D32/C32
31,1900470,=C32*2,=2*D32-B33,=D33/C33
32,5936673,=C33*2,=2*D33-B34,=D34/C34
33,0,=C34*2,=2*D34-B35,=D35/C35
34,13472296,=C35*2,=2*D35-B36,=D36/C36
35,39993895,=C36*2,=2*D36-B37,=D37/C37
36,0,=C37*2,=2*D37-B38,=D38/C38
37,87986917,=C38*2,=2*D38-B39,=D39/C39
38,,=C39*2,=2*D39-B40,=D40/C40
39,=B39*2,=C40*2,=2*D40-B41,=D41/C41
40,=B41*2,=C41*2,=2*D41-B42,=D42/C42
